model_id,model_slug,size_slug,ollama_ref,target_lane,provider_plan_id,pilot_menu_band,pilot_candidate_chain,system_ram_gb,included_ssd_gb,accelerator_present,gpu_model,gpu_vram_gb,model_minimum_ram_gb,model_minimum_disk_free_gb,model_minimum_vram_gb,ram_gate,disk_capacity_gate,gpu_vram_gate,compatibility_status,runtime_model_test_required,source_paths
alfred-40b,alfred,40b,alfred:40b,cloud/aws-lightsail/gpu,lightsail-research-gpu-xl,pilot-12gb,qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,16.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
alfred-40b,alfred,40b,alfred:40b,cloud/aws-lightsail/gpu,lightsail-research-gpu-2xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,32.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
alfred-40b,alfred,40b,alfred:40b,cloud/aws-lightsail/gpu,lightsail-research-gpu-4xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,64.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
alfred-40b,alfred,40b1023-q40,alfred:40b-1023-q4_0,cloud/aws-lightsail/gpu,lightsail-research-gpu-xl,pilot-12gb,qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,16.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
alfred-40b,alfred,40b1023-q40,alfred:40b-1023-q4_0,cloud/aws-lightsail/gpu,lightsail-research-gpu-2xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,32.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
alfred-40b,alfred,40b1023-q40,alfred:40b-1023-q4_0,cloud/aws-lightsail/gpu,lightsail-research-gpu-4xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,64.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
alfred-40b,alfred,40b1023-q41,alfred:40b-1023-q4_1,cloud/aws-lightsail/gpu,lightsail-research-gpu-xl,pilot-12gb,qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,16.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
alfred-40b,alfred,40b1023-q41,alfred:40b-1023-q4_1,cloud/aws-lightsail/gpu,lightsail-research-gpu-2xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,32.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
alfred-40b,alfred,40b1023-q41,alfred:40b-1023-q4_1,cloud/aws-lightsail/gpu,lightsail-research-gpu-4xl,pilot-24gb-plus,qwen3:14b|qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,64.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
alfred-40b,alfred,40b1023-q50,alfred:40b-1023-q5_0,cloud/aws-lightsail/gpu,lightsail-research-gpu-xl,pilot-12gb,qwen3:8b|qwen3:4b|qwen3:1.7b|qwen3:0.6b,16.0,50.0,true,,,,,,unknown,unknown,unknown,unknown,true,AGENTS/data-science/profile-mapping/aws-lightsail-research-gpu-bundles.csv|AGENTS/data-science/profile-mapping/8ball-base-pilot-menu.json
