row_type,entity_id,slug,family_id,deployment_class_id,profile_path,source_path,source_schema_version,provenance_status
family,alfred,alfred,alfred,,families/alfred/profile.json,data/generated/pages/families/alfred/info.json,c5.family-page.v1,derived_from_c5_pages
family,all-minilm,all-minilm,all-minilm,,families/all-minilm/profile.json,data/generated/pages/families/all-minilm/info.json,c5.family-page.v1,derived_from_c5_pages
family,athene-v2,athene-v2,athene-v2,,families/athene-v2/profile.json,data/generated/pages/families/athene-v2/info.json,c5.family-page.v1,derived_from_c5_pages
family,aya,aya,aya,,families/aya/profile.json,data/generated/pages/families/aya/info.json,c5.family-page.v1,derived_from_c5_pages
family,aya-expanse,aya-expanse,aya-expanse,,families/aya-expanse/profile.json,data/generated/pages/families/aya-expanse/info.json,c5.family-page.v1,derived_from_c5_pages
family,bakllava,bakllava,bakllava,,families/bakllava/profile.json,data/generated/pages/families/bakllava/info.json,c5.family-page.v1,derived_from_c5_pages
family,bespoke-minicheck,bespoke-minicheck,bespoke-minicheck,,families/bespoke-minicheck/profile.json,data/generated/pages/families/bespoke-minicheck/info.json,c5.family-page.v1,derived_from_c5_pages
family,bge-large,bge-large,bge-large,,families/bge-large/profile.json,data/generated/pages/families/bge-large/info.json,c5.family-page.v1,derived_from_c5_pages
family,bge-m3,bge-m3,bge-m3,,families/bge-m3/profile.json,data/generated/pages/families/bge-m3/info.json,c5.family-page.v1,derived_from_c5_pages
family,codebooga,codebooga,codebooga,,families/codebooga/profile.json,data/generated/pages/families/codebooga/info.json,c5.family-page.v1,derived_from_c5_pages
family,codegeex4,codegeex4,codegeex4,,families/codegeex4/profile.json,data/generated/pages/families/codegeex4/info.json,c5.family-page.v1,derived_from_c5_pages
family,codegemma,codegemma,codegemma,,families/codegemma/profile.json,data/generated/pages/families/codegemma/info.json,c5.family-page.v1,derived_from_c5_pages
family,codellama,codellama,codellama,,families/codellama/profile.json,data/generated/pages/families/codellama/info.json,c5.family-page.v1,derived_from_c5_pages
family,codeqwen,codeqwen,codeqwen,,families/codeqwen/profile.json,data/generated/pages/families/codeqwen/info.json,c5.family-page.v1,derived_from_c5_pages
family,codestral,codestral,codestral,,families/codestral/profile.json,data/generated/pages/families/codestral/info.json,c5.family-page.v1,derived_from_c5_pages
family,codeup,codeup,codeup,,families/codeup/profile.json,data/generated/pages/families/codeup/info.json,c5.family-page.v1,derived_from_c5_pages
family,cogito,cogito,cogito,,families/cogito/profile.json,data/generated/pages/families/cogito/info.json,c5.family-page.v1,derived_from_c5_pages
family,cogito-2.1,cogito-2-1,cogito-2.1,,families/cogito-2-1/profile.json,data/generated/pages/families/cogito-2-1/info.json,c5.family-page.v1,derived_from_c5_pages
family,command-a,command-a,command-a,,families/command-a/profile.json,data/generated/pages/families/command-a/info.json,c5.family-page.v1,derived_from_c5_pages
family,command-r,command-r,command-r,,families/command-r/profile.json,data/generated/pages/families/command-r/info.json,c5.family-page.v1,derived_from_c5_pages
family,command-r-plus,command-r-plus,command-r-plus,,families/command-r-plus/profile.json,data/generated/pages/families/command-r-plus/info.json,c5.family-page.v1,derived_from_c5_pages
family,command-r7b,command-r7b,command-r7b,,families/command-r7b/profile.json,data/generated/pages/families/command-r7b/info.json,c5.family-page.v1,derived_from_c5_pages
family,command-r7b-arabic,command-r7b-arabic,command-r7b-arabic,,families/command-r7b-arabic/profile.json,data/generated/pages/families/command-r7b-arabic/info.json,c5.family-page.v1,derived_from_c5_pages
family,dbrx,dbrx,dbrx,,families/dbrx/profile.json,data/generated/pages/families/dbrx/info.json,c5.family-page.v1,derived_from_c5_pages
family,deepcoder,deepcoder,deepcoder,,families/deepcoder/profile.json,data/generated/pages/families/deepcoder/info.json,c5.family-page.v1,derived_from_c5_pages
family,deepscaler,deepscaler,deepscaler,,families/deepscaler/profile.json,data/generated/pages/families/deepscaler/info.json,c5.family-page.v1,derived_from_c5_pages
family,deepseek-coder,deepseek-coder,deepseek-coder,,families/deepseek-coder/profile.json,data/generated/pages/families/deepseek-coder/info.json,c5.family-page.v1,derived_from_c5_pages
family,deepseek-coder-v2,deepseek-coder-v2,deepseek-coder-v2,,families/deepseek-coder-v2/profile.json,data/generated/pages/families/deepseek-coder-v2/info.json,c5.family-page.v1,derived_from_c5_pages
family,deepseek-llm,deepseek-llm,deepseek-llm,,families/deepseek-llm/profile.json,data/generated/pages/families/deepseek-llm/info.json,c5.family-page.v1,derived_from_c5_pages
family,deepseek-ocr,deepseek-ocr,deepseek-ocr,,families/deepseek-ocr/profile.json,data/generated/pages/families/deepseek-ocr/info.json,c5.family-page.v1,derived_from_c5_pages
family,deepseek-r1,deepseek-r1,deepseek-r1,,families/deepseek-r1/profile.json,data/generated/pages/families/deepseek-r1/info.json,c5.family-page.v1,derived_from_c5_pages
family,deepseek-v2,deepseek-v2,deepseek-v2,,families/deepseek-v2/profile.json,data/generated/pages/families/deepseek-v2/info.json,c5.family-page.v1,derived_from_c5_pages
family,deepseek-v2.5,deepseek-v2-5,deepseek-v2.5,,families/deepseek-v2-5/profile.json,data/generated/pages/families/deepseek-v2-5/info.json,c5.family-page.v1,derived_from_c5_pages
family,deepseek-v3,deepseek-v3,deepseek-v3,,families/deepseek-v3/profile.json,data/generated/pages/families/deepseek-v3/info.json,c5.family-page.v1,derived_from_c5_pages
family,deepseek-v3.1,deepseek-v3-1,deepseek-v3.1,,families/deepseek-v3-1/profile.json,data/generated/pages/families/deepseek-v3-1/info.json,c5.family-page.v1,derived_from_c5_pages
