size_slug,size_json_path,ollama_ref
9b-text-q51,profiles/gemma2/sizes/9b-text-q51.json,gemma2:9b-text-q5_1
9b-text-q6-k,profiles/gemma2/sizes/9b-text-q6-k.json,gemma2:9b-text-q6_K
9b-text-q80,profiles/gemma2/sizes/9b-text-q80.json,gemma2:9b-text-q8_0
2b,profiles/gemma2/sizes/2b.json,gemma2:2b
2b-instruct-fp16,profiles/gemma2/sizes/2b-instruct-fp16.json,gemma2:2b-instruct-fp16
2b-instruct-q2-k,profiles/gemma2/sizes/2b-instruct-q2-k.json,gemma2:2b-instruct-q2_K
2b-instruct-q3-k-l,profiles/gemma2/sizes/2b-instruct-q3-k-l.json,gemma2:2b-instruct-q3_K_L
2b-instruct-q3-k-m,profiles/gemma2/sizes/2b-instruct-q3-k-m.json,gemma2:2b-instruct-q3_K_M
2b-instruct-q3-k-s,profiles/gemma2/sizes/2b-instruct-q3-k-s.json,gemma2:2b-instruct-q3_K_S
2b-instruct-q4-k-m,profiles/gemma2/sizes/2b-instruct-q4-k-m.json,gemma2:2b-instruct-q4_K_M
2b-instruct-q4-k-s,profiles/gemma2/sizes/2b-instruct-q4-k-s.json,gemma2:2b-instruct-q4_K_S
2b-instruct-q40,profiles/gemma2/sizes/2b-instruct-q40.json,gemma2:2b-instruct-q4_0
2b-instruct-q41,profiles/gemma2/sizes/2b-instruct-q41.json,gemma2:2b-instruct-q4_1
2b-instruct-q5-k-m,profiles/gemma2/sizes/2b-instruct-q5-k-m.json,gemma2:2b-instruct-q5_K_M
2b-instruct-q5-k-s,profiles/gemma2/sizes/2b-instruct-q5-k-s.json,gemma2:2b-instruct-q5_K_S
2b-instruct-q50,profiles/gemma2/sizes/2b-instruct-q50.json,gemma2:2b-instruct-q5_0
2b-instruct-q51,profiles/gemma2/sizes/2b-instruct-q51.json,gemma2:2b-instruct-q5_1
2b-instruct-q6-k,profiles/gemma2/sizes/2b-instruct-q6-k.json,gemma2:2b-instruct-q6_K
2b-instruct-q80,profiles/gemma2/sizes/2b-instruct-q80.json,gemma2:2b-instruct-q8_0
2b-text-fp16,profiles/gemma2/sizes/2b-text-fp16.json,gemma2:2b-text-fp16
2b-text-q2-k,profiles/gemma2/sizes/2b-text-q2-k.json,gemma2:2b-text-q2_K
2b-text-q3-k-l,profiles/gemma2/sizes/2b-text-q3-k-l.json,gemma2:2b-text-q3_K_L
2b-text-q3-k-m,profiles/gemma2/sizes/2b-text-q3-k-m.json,gemma2:2b-text-q3_K_M
2b-text-q3-k-s,profiles/gemma2/sizes/2b-text-q3-k-s.json,gemma2:2b-text-q3_K_S
2b-text-q4-k-m,profiles/gemma2/sizes/2b-text-q4-k-m.json,gemma2:2b-text-q4_K_M
2b-text-q4-k-s,profiles/gemma2/sizes/2b-text-q4-k-s.json,gemma2:2b-text-q4_K_S
2b-text-q40,profiles/gemma2/sizes/2b-text-q40.json,gemma2:2b-text-q4_0
2b-text-q41,profiles/gemma2/sizes/2b-text-q41.json,gemma2:2b-text-q4_1
2b-text-q5-k-m,profiles/gemma2/sizes/2b-text-q5-k-m.json,gemma2:2b-text-q5_K_M
2b-text-q5-k-s,profiles/gemma2/sizes/2b-text-q5-k-s.json,gemma2:2b-text-q5_K_S
2b-text-q50,profiles/gemma2/sizes/2b-text-q50.json,gemma2:2b-text-q5_0
2b-text-q51,profiles/gemma2/sizes/2b-text-q51.json,gemma2:2b-text-q5_1
2b-text-q6-k,profiles/gemma2/sizes/2b-text-q6-k.json,gemma2:2b-text-q6_K
2b-text-q80,profiles/gemma2/sizes/2b-text-q80.json,gemma2:2b-text-q8_0
latest,profiles/gemma2/sizes/latest.json,gemma2:latest
