size_slug,ollama_ref,size_file
7b,mistrallite:7b,sizes/7b.json
7b-v0-1-fp16,mistrallite:7b-v0.1-fp16,sizes/7b-v0-1-fp16.json
7b-v0-1-q2_k,mistrallite:7b-v0.1-q2_K,sizes/7b-v0-1-q2_k.json
7b-v0-1-q3_k_l,mistrallite:7b-v0.1-q3_K_L,sizes/7b-v0-1-q3_k_l.json
7b-v0-1-q3_k_m,mistrallite:7b-v0.1-q3_K_M,sizes/7b-v0-1-q3_k_m.json
7b-v0-1-q3_k_s,mistrallite:7b-v0.1-q3_K_S,sizes/7b-v0-1-q3_k_s.json
7b-v0-1-q4_0,mistrallite:7b-v0.1-q4_0,sizes/7b-v0-1-q4_0.json
7b-v0-1-q4_1,mistrallite:7b-v0.1-q4_1,sizes/7b-v0-1-q4_1.json
7b-v0-1-q4_k_m,mistrallite:7b-v0.1-q4_K_M,sizes/7b-v0-1-q4_k_m.json
7b-v0-1-q4_k_s,mistrallite:7b-v0.1-q4_K_S,sizes/7b-v0-1-q4_k_s.json
7b-v0-1-q5_0,mistrallite:7b-v0.1-q5_0,sizes/7b-v0-1-q5_0.json
7b-v0-1-q5_1,mistrallite:7b-v0.1-q5_1,sizes/7b-v0-1-q5_1.json
7b-v0-1-q5_k_m,mistrallite:7b-v0.1-q5_K_M,sizes/7b-v0-1-q5_k_m.json
7b-v0-1-q5_k_s,mistrallite:7b-v0.1-q5_K_S,sizes/7b-v0-1-q5_k_s.json
7b-v0-1-q6_k,mistrallite:7b-v0.1-q6_K,sizes/7b-v0-1-q6_k.json
7b-v0-1-q8_0,mistrallite:7b-v0.1-q8_0,sizes/7b-v0-1-q8_0.json
latest,mistrallite:latest,sizes/latest.json
